,start,end,rpc_method,error
34,2024-02-20 14:32:55.391909,2024-02-20 14:32:57.181851,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
35,2024-02-20 14:32:55.392112,2024-02-20 14:32:57.182172,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
36,2024-02-20 14:32:55.392319,2024-02-20 14:32:57.182506,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
37,2024-02-20 14:32:55.392512,2024-02-20 14:32:57.182841,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
38,2024-02-20 14:32:55.392708,2024-02-20 14:32:57.183157,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
39,2024-02-20 14:32:55.392899,2024-02-20 14:32:57.183472,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
40,2024-02-20 14:32:55.393090,2024-02-20 14:32:57.183792,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
41,2024-02-20 14:32:55.393291,2024-02-20 14:32:57.184107,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
42,2024-02-20 14:32:55.393481,2024-02-20 14:32:57.184455,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
43,2024-02-20 14:32:55.393764,2024-02-20 14:32:57.184790,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
44,2024-02-20 14:32:55.393978,2024-02-20 14:32:57.185100,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
45,2024-02-20 14:32:55.394197,2024-02-20 14:32:57.185414,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
46,2024-02-20 14:32:55.394393,2024-02-20 14:32:57.185736,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
47,2024-02-20 14:32:55.394646,2024-02-20 14:32:57.186051,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
48,2024-02-20 14:32:55.394852,2024-02-20 14:32:57.186635,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
49,2024-02-20 14:32:55.395046,2024-02-20 14:32:57.187139,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
50,2024-02-20 14:32:55.395263,2024-02-20 14:32:57.187517,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
51,2024-02-20 14:32:55.395466,2024-02-20 14:32:57.187858,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
52,2024-02-20 14:32:55.395660,2024-02-20 14:32:57.188215,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
53,2024-02-20 14:32:55.395965,2024-02-20 14:32:57.188752,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
54,2024-02-20 14:32:55.396177,2024-02-20 14:32:57.189243,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
55,2024-02-20 14:32:55.396385,2024-02-20 14:32:57.189608,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
56,2024-02-20 14:32:55.396580,2024-02-20 14:32:57.189980,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
57,2024-02-20 14:32:55.396773,2024-02-20 14:32:57.190319,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
58,2024-02-20 14:32:55.396969,2024-02-20 14:32:57.190704,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
59,2024-02-20 14:32:55.397171,2024-02-20 14:32:57.191007,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
60,2024-02-20 14:32:55.397367,2024-02-20 14:32:57.191309,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
61,2024-02-20 14:32:55.397556,2024-02-20 14:32:57.191605,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
62,2024-02-20 14:32:55.397831,2024-02-20 14:32:57.191916,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
63,2024-02-20 14:32:55.398037,2024-02-20 14:32:57.192222,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
64,2024-02-20 14:32:55.398243,2024-02-20 14:32:57.192515,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
65,2024-02-20 14:32:55.398446,2024-02-20 14:32:57.192812,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
66,2024-02-20 14:32:55.398770,2024-02-20 14:32:57.193332,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
67,2024-02-20 14:32:55.398986,2024-02-20 14:32:57.193820,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
68,2024-02-20 14:32:55.399198,2024-02-20 14:32:57.194179,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
69,2024-02-20 14:32:55.399411,2024-02-20 14:32:57.194574,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
70,2024-02-20 14:32:55.399607,2024-02-20 14:32:57.194925,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
71,2024-02-20 14:32:55.399809,2024-02-20 14:32:57.195270,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
72,2024-02-20 14:32:55.400250,2024-02-20 14:32:57.195663,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
73,2024-02-20 14:32:55.400496,2024-02-20 14:32:57.196037,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
74,2024-02-20 14:32:55.400699,2024-02-20 14:32:57.196422,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
75,2024-02-20 14:32:55.400896,2024-02-20 14:32:57.196757,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
76,2024-02-20 14:32:55.401088,2024-02-20 14:32:57.197074,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
77,2024-02-20 14:32:55.401295,2024-02-20 14:32:57.197384,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
78,2024-02-20 14:32:55.401503,2024-02-20 14:32:57.197747,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
79,2024-02-20 14:32:55.401711,2024-02-20 14:32:57.198100,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
80,2024-02-20 14:32:55.401905,2024-02-20 14:32:57.198435,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
81,2024-02-20 14:32:55.402194,2024-02-20 14:32:57.198816,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
